"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tspan8",3.6684385292446e-116,-0.368054445578132,0.456,0.527,6.6321700170213e-112
"Map3k20",4.2128076922732e-114,-0.336190648863008,0.221,0.302,7.61633502686072e-110
"Abca1",6.08697245064863e-112,0.262195175800221,0.31,0.22,1.10046374935277e-107
"Mcm7",1.93535045627621e-111,0.285978970896399,0.466,0.37,3.49892008990176e-107
"Clip2",1.90236447384461e-109,0.26385267370166,0.342,0.251,3.43928473226368e-105
"Per3",5.21477221650768e-108,0.278161617460616,0.311,0.226,9.42778669022424e-104
"Lfng",6.67535631041442e-108,0.296684781932097,0.395,0.304,1.20683766735982e-103
"Fam114a1",1.11407489257586e-107,0.275871340573991,0.281,0.199,2.01413599828789e-103
"Ceacam1",1.31187198974806e-106,-0.347301114950808,0.505,0.575,2.37173337026552e-102
"Fgfrl1",7.3082950137022e-106,0.532446638793096,0.305,0.226,1.32126665552722e-101
"Slc6a9",6.06120480568265e-105,0.252743798425128,0.347,0.256,1.09580521681937e-100
"Parp3",1.27943565850784e-104,0.26106089395021,0.26,0.181,2.31309172701633e-100
"Sorbs2",3.67163988799283e-104,-0.339742868955611,0.448,0.518,6.63795775350224e-100
"Oit1",6.47778229368484e-104,-0.393583015487029,0.419,0.491,1.17111826087528e-99
"Ccni",4.23634825239675e-103,0.252597005252941,0.283,0.202,7.65889400550809e-99
"Cdk14",7.13534773175342e-103,0.25799535489231,0.325,0.24,1.2899995164237e-98
"Antxr2",3.14630553211761e-102,0.279477588509789,0.333,0.247,5.68820577151543e-98
"Cdca7",4.3054720463989e-102,-0.302864194232763,0.462,0.535,7.78386291268457e-98
"Slbp",1.1382102171411e-100,0.264311464937089,0.361,0.273,2.0577702515694e-96
"Krt19",5.11056375201131e-99,-0.299635798284997,0.797,0.84,9.23938820726125e-95
"Prox1",6.23999683342088e-97,0.487863717509909,0.253,0.181,1.12812902751416e-92
"Lrig1",1.42394838032973e-96,-0.336019857184608,0.388,0.46,2.57435627679811e-92
"Tmsb4x",1.73028757336875e-96,-0.372632116285525,0.544,0.6,3.12818690389336e-92
"Oas2",2.20731065453602e-96,0.398858834843693,0.449,0.37,3.99059693233567e-92
"Atp8a1",6.79576054807439e-96,0.299546289449851,0.411,0.323,1.22860554948637e-91
"Tcf12",4.37979646183326e-94,0.315701175946323,0.404,0.318,7.91823402334836e-90
"Cldn7",2.7189360697958e-92,-0.299473432824683,0.627,0.671,4.91556452058383e-88
"Tifa",1.73736737472991e-91,-0.355580741195844,0.202,0.273,3.14098647677421e-87
"Ahnak",3.52462765014554e-91,-0.255764931310729,0.672,0.728,6.37217432869812e-87
"Plagl2",5.9242552481956e-91,-0.305824107979623,0.336,0.405,1.07104610632128e-86
"Lrrc31",3.04527151879081e-90,-0.335423692711939,0.399,0.473,5.50554637882191e-86
"Npas2",3.5835541581448e-88,-0.2947212316083,0.242,0.315,6.47870756250998e-84
"Csrp1",3.05718872230831e-87,-0.379331539234249,0.188,0.253,5.5270914910612e-83
"Syt8",1.8158152362482e-86,0.294558914625469,0.391,0.312,3.28281236561311e-82
